City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Noormarkku,FI,2021-03-24 20:03:29,61.5927,21.8685,41.0,75,0,8.05,clear sky
1,Khatanga,RU,2021-03-24 20:03:29,71.9667,102.5,-3.1,93,100,3.11,overcast clouds
2,Alyangula,AU,2021-03-24 20:03:29,-13.8483,136.4192,81.19,83,100,6.96,overcast clouds
3,Kapaa,US,2021-03-24 20:03:29,22.0752,-159.319,78.01,69,40,8.05,scattered clouds
4,Bluff,NZ,2021-03-24 20:00:28,-46.6,168.3333,46.99,97,14,8.23,few clouds
5,Georgetown,MY,2021-03-24 20:01:30,5.4112,100.3354,80.6,94,20,3.44,few clouds
6,Borger,NL,2021-03-24 20:03:30,52.9233,6.7931,46.0,87,100,6.15,overcast clouds
7,Hobart,AU,2021-03-24 20:00:03,-42.8794,147.3294,61.0,94,75,9.22,light rain
8,Kyzyl-Suu,KG,2021-03-24 20:03:30,42.3414,78.0056,39.09,42,97,9.82,overcast clouds
9,Tazovskiy,RU,2021-03-24 20:03:30,67.4667,78.7,7.88,99,86,6.76,overcast clouds
10,Nakhodka,RU,2021-03-24 20:03:31,42.8333,132.8947,37.08,76,100,5.41,overcast clouds
11,Cidreira,BR,2021-03-24 20:03:31,-30.1811,-50.2056,74.82,70,82,10.02,broken clouds
12,Agapovka,RU,2021-03-24 20:03:31,53.2973,59.1348,21.2,93,75,8.95,broken clouds
13,Atuona,PF,2021-03-24 20:03:32,-9.8,-139.0333,80.17,77,100,18.52,overcast clouds
14,Kaseda,JP,2021-03-24 20:03:32,31.4167,130.3167,56.62,87,100,5.88,overcast clouds
15,Faanui,PF,2021-03-24 20:03:32,-16.4833,-151.75,83.26,73,100,22.57,overcast clouds
16,Parry Sound,CA,2021-03-24 20:00:00,45.3501,-80.033,62.6,51,98,11.95,overcast clouds
17,Sao Joao Da Barra,BR,2021-03-24 20:03:33,-21.6403,-41.0511,84.2,65,0,12.66,clear sky
18,Mataura,NZ,2021-03-24 20:02:52,-46.1927,168.8643,46.99,97,17,2.21,few clouds
19,Mahebourg,MU,2021-03-24 20:03:33,-20.4081,57.7,77.0,94,20,4.61,few clouds
20,Busselton,AU,2021-03-24 20:03:33,-33.65,115.3333,46.99,95,0,7.14,clear sky
21,Albany,US,2021-03-24 20:03:34,42.6001,-73.9662,53.01,75,100,10.67,moderate rain
22,Port Elizabeth,ZA,2021-03-24 20:03:34,-33.918,25.5701,69.8,78,75,11.5,broken clouds
23,New Norfolk,AU,2021-03-24 20:03:34,-42.7826,147.0587,61.0,86,100,4.38,overcast clouds
24,Laguna De Perlas,NI,2021-03-24 20:03:34,12.3429,-83.6712,84.2,70,40,4.61,scattered clouds
25,Puerto Ayora,EC,2021-03-24 20:03:35,-0.7393,-90.3518,82.4,78,40,11.5,moderate rain
26,Labuhan,ID,2021-03-24 20:03:35,-6.8844,112.2051,78.48,81,100,3.42,overcast clouds
27,Lebu,CL,2021-03-24 20:03:36,-37.6167,-73.65,57.79,63,0,17.9,clear sky
