City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Talnakh,69.4865,88.3972,-0.76,96,100,7.58,RU,2021-03-22 17:33:38
1,Kapaa,22.0752,-159.319,71.6,53,1,17.27,US,2021-03-22 17:33:40
2,Komsomolskiy,40.4272,71.7189,53.6,50,100,4.61,UZ,2021-03-22 17:33:41
3,Ambanja,-13.6833,48.45,76.15,92,100,3.09,MG,2021-03-22 17:33:45
4,New Norfolk,-42.7826,147.0587,57.99,68,79,1.81,AU,2021-03-22 17:33:46
5,Tahe,52.3333,124.7333,23.52,86,46,8.03,CN,2021-03-22 17:33:48
6,Barrow,71.2906,-156.7887,-20.2,63,1,8.05,US,2021-03-22 17:33:50
7,Morgan City,29.6994,-91.2068,73.99,73,75,16.11,US,2021-03-22 17:33:51
8,Kaitangata,-46.2817,169.8464,50.04,94,90,4.07,NZ,2021-03-22 17:33:52
9,Amberley,39.2048,-84.428,68.0,42,1,6.91,US,2021-03-22 17:33:53
10,Sitka,57.0531,-135.33,35.6,93,90,3.44,US,2021-03-22 17:33:10
11,Mataura,-46.1927,168.8643,53.01,97,88,3.0,NZ,2021-03-22 17:33:57
12,Sinjar,36.3209,41.8754,60.93,51,100,8.97,IQ,2021-03-22 17:33:58
13,Chuy,-33.6971,-53.4616,72.07,68,48,10.58,UY,2021-03-22 17:33:59
14,Bulanash,57.2783,61.9965,18.63,89,9,6.85,RU,2021-03-22 17:34:00
15,Jamestown,42.097,-79.2353,64.99,20,1,9.17,US,2021-03-22 17:34:00
16,Datong,40.0936,113.2914,35.24,38,0,7.83,CN,2021-03-22 17:34:01
17,Busselton,-33.65,115.3333,48.99,90,40,12.17,AU,2021-03-22 17:33:18
18,Oga,46.4631,10.347,33.8,54,20,14.97,IT,2021-03-22 17:34:03
19,Tandil,-37.3217,-59.1332,72.0,40,23,5.01,AR,2021-03-22 17:34:03
20,Chumikan,54.7183,135.315,8.62,83,44,7.29,RU,2021-03-22 17:34:03
21,Hobart,-42.8794,147.3294,57.99,88,78,3.44,AU,2021-03-22 17:33:43
22,Vaini,-21.2,-175.2,75.2,88,20,6.91,TO,2021-03-22 17:34:05
23,Port Elizabeth,-33.918,25.5701,64.4,77,0,4.61,ZA,2021-03-22 17:34:06
24,Bubaque,11.2833,-15.8333,77.11,62,69,13.85,GW,2021-03-22 17:34:07
25,Batemans Bay,-35.7167,150.1833,64.0,96,100,1.01,AU,2021-03-22 17:34:07
26,Roseburg,43.2165,-123.3417,48.99,76,90,3.44,US,2021-03-22 17:34:08
27,Castro,-24.7911,-50.0119,77.92,73,51,2.91,BR,2021-03-22 17:34:08
28,Lavrentiya,65.5833,-171.0,-6.12,81,95,5.21,RU,2021-03-22 17:34:09
29,Broome,42.2506,-75.833,63.0,26,0,7.0,US,2021-03-22 17:34:09
